Virksomhed/Brand,Hvorfor,Tag,Alternativer,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori
Philosophy,"Ejes af Coty. Ejeren af Coty, familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation. Derudover delte Kylie Jenner et opslag, hvor hun udtrykte støtte til Israel, hvorefter hun slettede det efter modstand fra følgere.",Coty,"Rituals, Ecooking",Kropspleje,Ansigtspleje,,,,,,,,,,,,,,
Kylie Cosmetics,"Ejes af Coty. Ejeren af Coty, familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation. Derudover delte Kylie Jenner et opslag, hvor hun udtrykte støtte til Israel, hvorefter hun slettede det efter modstand fra følgere.",Coty,,Make-up,,,,,,,,,,,,,,,
Manhattan Cosmetics,"Ejes af Coty. Ejeren af Coty, familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation. Derudover delte Kylie Jenner et opslag, hvor hun udtrykte støtte til Israel, hvorefter hun slettede det efter modstand fra følgere.",Coty,Gosh,Make-up,,,,,,,,,,,,,,,
Max Factor,"Ejes af Coty. Ejeren af Coty, familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation.",Coty,"Gosh, IsaDora, Kiko Milano",Make-up,,,,,,,,,,,,,,,
Rimmel,"Ejes af Coty. Ejeren af Coty, familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation. Derudover delte Kylie Jenner et opslag, hvor hun udtrykte støtte til Israel, hvorefter hun slettede det efter modstand fra følgere.",Coty,Gosh Copenhagen,Make-up,,,,,,,,,,,,,,,
David Beckham,"Ejes af Coty. Ejeren af Coty, familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation. Derudover delte Kylie Jenner et opslag, hvor hun udtrykte støtte til Israel, hvorefter hun slettede det efter modstand fra følgere.",Coty,,Parfumer: Mænd,Mænd: Deodoranter,,,,,,,,,,,,,,
GHD,"Ejes af Coty. Ejeren af Coty, familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation. Derudover delte Kylie Jenner et opslag, hvor hun udtrykte støtte til Israel, hvorefter hun slettede det efter modstand fra følgere.",Coty,"uCare, Phillips",Personlig pleje: Elektronik,,,,,,,,,,,,,,,
Coty,"Ejeren af Coty, familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation.",Coty,,Påklædning: Til hele familien,,,,,,,,,,,,,,,
Lancaster,"Ejes af Coty. Ejeren af Coty, familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation.",Coty,"Green People, Ecooking, Clarins",Solpleje,,,,,,,,,,,,,,,
Kylie Skin,"Ejes af Coty. Ejeren af Coty, familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation. Derudover delte Kylie Jenner et opslag, hvor hun udtrykte støtte til Israel, hvorefter hun slettede det efter modstand fra følgere.",Coty,,,,,,,,,,,,,,,,,
