Virksomhed/Brand,Hvorfor,Tag,Alternativer,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori
Viktor & Rolf Beauty,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,"Escentric Molecules, Kayali",Parfumer: Mænd,Parfumer: Kvinder,,,,,,,,,,,,,,
CeraVe,"Ejes af L'Oréal som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal,Danish Skin Care,,,,,,,,,,,,,,,,
Prada Beauty,"Har et samarbejde med L'Oréal, som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal-partnerskab,,Parfumer: Mænd,Make-up,Påklædning: Tasker,Parfumer: Kvinder,,,,,,,,,,,,
Ralph Lauren Frangrances,"Har et samarbejde med L'Oréal, som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal-partnerskab,,Parfumer: Mænd,Parfumer: Kvinder,Mænd: Deodoranter,,,,,,,,,,,,,
Mugler Beauty,"Har et samarbejde med L'Oréal, som er en 'varm ven af Israel'. Efter at have sendt et brev til Den Arabiske Liga med oplysninger, der hjalp boykotten, betalte de en bøde på 1,4 mio. dollars og udstedte en undskyldning, før de opbyggede et nyt forhold til Israel med en stor investering.",L'Oréal-partnerskab,,,Skincare & cosmetics,,,,,,Kvinder: Tøj,Kvinder: Sko,Mænd: Hudpleje,Mænd: Accessories,Kvinder: Accessories,,,,
Kenzo,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Kvinder: Tøj,Baby- & Børnetøj,Til hele familien: Tøj,Mænd: Tøj,Mænd: Sko,Kvinder: Accessories,,,,,,,,,,
Dior / Christian Dior,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,"Beauté Pacifique, Clarins, Rudolf Care, Kayali",Make-up,Ansigtspleje,Parfumer: Mænd,Parfumer: Kvinder,Påklædning: Solbriller,Kvinder: Tøj,Kvinder: Sko,,,,,,,,,
Fenty Beauty by Rihanna,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Make-up,,,,,,,,,,,,,,,
Givenchy,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Make-up,Parfumer: Mænd,Påklædning: Smykker,Påklædning: Tasker,Påklædning: Ure,Parfumer: Kvinder,,,,,,,,,,
TAG Heuer,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,"Nordgreen, Dissing",Mænd: Ure,,,,,,,,,,,,,,,
Maison Francis Kurkdjian,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Parfumer: Kvinder,,,,,,,,,,,,,,,
Marc Jacobs,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Parfumer: Kvinder,Påklædning: Smykker,Kvinder: Tøj,Kvinder: Sko,Mænd: Sko,Mænd: Tøj,Påklædning: Tasker,,,,,,,,,
STELLA by Stella McCartney,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Parfumer: Kvinder,Ansigtspleje,,,,,,,,,,,,,,
Acqua di Parma,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,"Rituals, Pierre Guillaume, Masque Milano",Parfumer: Mænd,Parfumer: Kvinder,,,,,,,,,,,,,,
Loewe,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Parfumer: Mænd,Parfumer: Kvinder,Påklædning: Solbriller,Kvinder: Tøj,Kvinder: Sko,Mænd: Sko,Mænd: Tøj,,,,,,,,,
Louis Vuitton,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Parfumer: Mænd,Parfumer: Kvinder,Påklædning: Smykker,Kvinder: Tøj,Kvinder: Sko,Mænd: Sko,Mænd: Tøj,,,,,,,,,
Tiffany & Co.,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Parfumer: Mænd,Påklædning: Smykker,Parfumer: Kvinder,,,,,,,,,,,,,
24S,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,"Uniqlo, Norr",Påklædning,Personlig pleje,,,,,,,,,,,,,,
Bulgari / Bvlgari,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Påklædning: Solbriller,Parfumer: Mænd,Påklædning: Smykker,Påklædning: Tasker,Påklædning: Ure,Parfumer: Kvinder,,,,,,,,,,
Celine,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Påklædning: Solbriller,Parfumer: Mænd,Påklædning: Smykker,Påklædning: Tasker,Påklædning: Ure,Parfumer: Kvinder,,,,,,,,,,
DKNY,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Påklædning: Tasker,Påklædning: Smykker,Baby- & børnetøj,Mænd: Tøj,Kvinder: Tøj,Kvinder: Sko,Påklædning: Sport,,,,,,,,,
Hublot,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Påklædning: Ure,,,,,,,,,,,,,,,
Fendi,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,Til hele familien: Sko,Til hele familien: Tøj,Påklædning: Tasker,Påklædning: Briller & solbriller,Påklædning: Smykker,Mænd: Tøj,Mænd: Sko,,,,,,,,,
Benefit Cosmetics,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,"Huda Beauty, Nars, Charlotte Tilburry ",,Make-up,,,,,,,,,,,,,,
Ole Henriksen ,"Ejes af LVMH med Bernard Arnault som formand og administrerende direktør, som ifølge mediet Forbes er han verdens rigeste mand. Bernard Arnault har investeret i cybersikkerhedsfirmaet Wiz, en israelske producent af skybaserede sikkerhedsløsninger for virksomheder.",LVMH,,,,,,,,,Mænd: Tøj,Mænd: Accessories,Kvinder: Accessories,,,,,,
Kind,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,Corny,Chips & Snacks,,,,,,,,,,,,,,,
Ben's Originals,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Dagligvarer,,,,,,,,,,,,,,,
Dolmio,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Dagligvarer,,,,,,,,,,,,,,,
Ebly,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Dagligvarer,,,,,,,,,,,,,,,
Miracoli,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Dagligvarer,,,,,,,,,,,,,,,
Wrigley's Extra,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"Mentos, V6, Stimorol, True Gum",Helse & Velvære,,,,,,,,,,,,,,,
Acana,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Sheba,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Frolic,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Perfect Fit,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Catsan,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Cesar,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Kitekat,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
IAMS,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Pedigree,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Royal Canin,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Temptations,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Whiskas,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Bounty,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Søde sager,,,,,,,,,,,,,,,
Celebrations,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Søde sager,,,,,,,,,,,,,,,
Dove,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Søde sager,,,,,,,,,,,,,,,
Galaxy,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Søde sager,,,,,,,,,,,,,,,
Hubba Bubba,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Søde sager,,,,,,,,,,,,,,,
M&M's,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Søde sager,,,,,,,,,,,,,,,
Maltesers,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Søde sager,,,,,,,,,,,,,,,
Milky Way,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Søde sager,,,,,,,,,,,,,,,
Skittles,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Søde sager,,,,,,,,,,,,,,,
Snickers,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Søde sager,,,,,,,,,,,,,,,
Twix,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars,,Søde sager,,,,,,,,,,,,,,,
Mars,"Ejes af Mars Inc. som støtter israelske start-ups og etableringen af virksomheder samt vil samarbejde med førende israelske akademiske institutioner som Hebrew University, Weizmann Institute, Technion, Migal og Tel Hai College, for bl.a. at fremme Foodtech-innovationer.",Mars Inc.,,Dagligvarer,Kæledyr,,,,,,,,,,,,,,
Clif,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Chips & Snacks,,,,,,,,,,,,,,,
TUC,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Chips & Snacks,,,,,,,,,,,,,,,
Mondelez,Mondelez investerer i israelske start-ups på Vestbredden.,Mondelez,,Dagligvarer,,,,,,,,,,,,,,,
Philadelphia,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,Buko,Dagligvarer,,,,,,,,,,,,,,,
Grenade,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,"Bodylab, Barebells",Fitness,,,,,,,,,,,,,,,
Tang,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Læskedrikke,,,,,,,,,,,,,,,
Daim,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Søde sager,,,,,,,,,,,,,,,
Dairy Milk,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Søde sager,,,,,,,,,,,,,,,
Marabou,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Søde sager,,,,,,,,,,,,,,,
Mikado,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Søde sager,,,,,,,,,,,,,,,
Milka,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Søde sager,,,,,,,,,,,,,,,
Oreo,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Søde sager,,,,,,,,,,,,,,,
Prince,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Søde sager,,,,,,,,,,,,,,,
Sour Patch Kids,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Søde sager,,,,,,,,,,,,,,,
Toblerone,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,,Søde sager,,,,,,,,,,,,,,,
Halls,Ejes af Mondelez som investerer i israelske start-ups på Vestbredden.,Mondelez,"Ricola, Läkerol, True Drops",Tyggegumme & pastiller,,,,,,,,,,,,,,,
Cerelac,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,Semper,Babymad,,,,,,,,,,,,,,,
Gerber,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Salling Øko, Semper, Organix",Babymad,,,,,,,,,,,,,,,
Nido,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Semper, Arla",Babymad,,,,,,,,,,,,,,,
Garden Goumet,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Dagligvarer,,,,,,,,,,,,,,,
Maggi,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,Urtekram,Dagligvarer,,,,,,,,,,,,,,,
Nestle,"Nestlé støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Dagligvarer,,,,,,,,,,,,,,,
Perrier,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Dagligvarer,,,,,,,,,,,,,,,
Häagen-Dazs,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Premier Is, Rønbjerg i, Naturli', Hansens Flødeis",Is,,,,,,,,,,,,,,,
Movenpick,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Premier Is, Rønbjerg i, Naturli', Hansens Flødeis",Is,,,,,,,,,,,,,,,
Coffee Mate,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Kaffe,,,,,,,,,,,,,,,
Nescafe,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Merrild, Karat, BKI, Peter Larsen Kaffe",Kaffe,,,,,,,,,,,,,,,
Nescafe Dolce Gusto,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Kaffedrengen, Real Coffee",Kaffe,,,,,,,,,,,,,,,
Nespresso,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Kaffedrengen, Real Coffee",Kaffe,,,,,,,,,,,,,,,
Felix,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Purina,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"CARNiVOR, Vitakraft, Kingsmoor, Bozita, HennePlus, Kronch",Kæledyr,,,,,,,,,,,,,,,
Milo,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Læskedrikke,,,,,,,,,,,,,,,
Nestea,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Blue Keld, Rynkeby",Læskedrikke,,,,,,,,,,,,,,,
San Pellegrino,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Uludag, Harboe, Salling Øko, Ego",Læskedrikke,,,,,,,,,,,,,,,
Cheerios,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Semper, Urtekram, AXA",Morgenmadsprodukter,,,,,,,,,,,,,,,
Fitness,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Easis, Semper, Urtekram, AXA",Morgenmadsprodukter,Træning & ernæring,,,,,,,,,,,,,,
Koko-Krunch,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Semper, Urtekram, AXA",Morgenmadsprodukter,,,,,,,,,,,,,,,
Aero,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,Mint Chocs (fra Storck),Søde sager,,,,,,,,,,,,,,,
Crunch,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Søde sager,,,,,,,,,,,,,,,
KitKat,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Søde sager,,,,,,,,,,,,,,,
Lion,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Søde sager,,,,,,,,,,,,,,,
Milkybar,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Søde sager,,,,,,,,,,,,,,,
Quality Street,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Søde sager,,,,,,,,,,,,,,,
Smarties,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Søde sager,,,,,,,,,,,,,,,
Acqua Panna,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Egekilde, Ramlösa ",Vand & vitaminvand,,,,,,,,,,,,,,,
La Vie,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Vand & vitaminvand,,,,,,,,,,,,,,,
Pure Life,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Egekilde, Ramlösa ",Vand & vitaminvand,,,,,,,,,,,,,,,
Vittel,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,,Vand & vitaminvand,,,,,,,,,,,,,,,
